i,direction,s2_in_window,bos_type,macro_align,macro_tag,new_struct_at_macro,fvg_in_path,stop_type,visit_count,dest_align_score,hit_dest,hit_bos,hit_vwap,hit_ib,hit_new_struct,hit_stop,first_hit,bh,ev_dest,ev_bos,ev_vwap,ev_ib,ev_new_struct,ev_split_dest_bos,ev_split_dest_ns,hit_r1,hit_r2,hit_r3,ev_1r,ev_2r,ev_3r,stop_dist_atr,r_dest,r_bos
296,SHORT,False,REVERSAL,True,PWL_bos,False,False,STRUCTURE,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.42748555951932593,8.698143470947082,3.2711179092664713
300,SHORT,False,REVERSAL,True,PWL_bos,False,False,STRUCTURE,1,2,True,True,True,True,True,True,bos,17,11.732452431937705,3.6638785926371558,15.0,4.318888392943779,3.6638785926371558,7.698165512287431,7.698165512287431,True,True,True,1.0,2.0,3.0,0.33685690004576063,11.732452431937705,3.6638785926371558
301,SHORT,False,REVERSAL,True,PWL_bos,False,False,FVG,1,0,True,True,True,True,True,True,bos,16,11.719426818699658,2.525945191045172,15.0,3.2315874860969567,2.525945191045172,7.122686004872415,7.122686004872415,True,True,True,1.0,2.0,3.0,0.30772536606707257,11.719426818699658,2.525945191045172
430,SHORT,False,REVERSAL,False,none,False,True,STRUCTURE,1,1,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.3777298766257075,9.60278346292824,4.067817068637939
431,SHORT,False,REVERSAL,False,none,False,True,ATR_FALLBACK,1,1,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.6037545783814912,6.281222716125399,3.4440303732207767
511,LONG,False,REVERSAL,True,PWH_bos,False,True,STRUCTURE,1,2,True,True,True,True,True,False,bos,96,7.362207175412954,2.383042800231321,7.087560303813998,2.6871634616613576,2.383042800231321,4.872624987822137,4.872624987822137,True,True,True,1.0,2.0,3.0,1.1928498391400666,7.362207175412954,2.383042800231321
514,LONG,False,REVERSAL,True,PWH_bos,False,False,STRUCTURE,1,2,False,False,True,False,False,True,,12,-1.0,-1.0,8.812638512391725,-1.0,-1.0,-1.0,-1.0,True,False,False,1.0,-1.0,-1.0,1.1313105825670091,9.5754026717767,2.9088681135364074
622,LONG,False,REVERSAL,True,PWH_bos,False,False,STRUCTURE,1,2,True,True,True,True,True,False,ib,96,9.835710428799654,3.103880632174148,8.482994281632905,2.456914490937439,3.103880632174148,6.469795530486901,6.469795530486901,True,True,True,1.0,2.0,3.0,0.8212610679845082,9.835710428799654,3.103880632174148
656,SHORT,False,CONTINUATION,False,none,False,False,FVG,1,2,False,True,False,True,True,True,bos,25,-1.0,1.0954473960491382,-1.0,7.868560877099486,1.0954473960491382,-1.0,-1.0,True,True,True,1.0,2.0,3.0,0.5047213969275773,38.53830961316389,1.0954473960491382
686,LONG,False,REVERSAL,True,PWH_bos,False,True,STRUCTURE,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.6322197457689023,11.004862250453744,4.2305203987156155
734,LONG,True,REVERSAL,True,PWH_bos,False,True,STRUCTURE,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.08514479192067836,25.628958522442485,20.637706643640826
742,SHORT,False,CONTINUATION,False,none,False,False,FVG,1,2,False,False,False,False,False,True,,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,False,1.0,2.0,-1.0,0.2725670515527639,27.104176268234475,3.984316116275678
743,SHORT,False,CONTINUATION,False,none,False,True,FVG,1,2,False,False,False,False,False,True,,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.39306851566280915,18.299724650696028,2.4209921937194925
744,SHORT,False,CONTINUATION,False,none,False,True,FVG,1,2,True,True,True,True,True,True,bos,15,7.837249675685444,0.9883019086619008,2.889405362681476,1.5767515385573165,0.9883019086619008,4.412775792173672,4.412775792173672,True,True,True,1.0,2.0,3.0,0.9075808274673626,7.837249675685444,0.9883019086619008
745,SHORT,False,CONTINUATION,False,none,False,True,FVG,1,2,True,True,True,True,True,True,bos,14,8.35672340874946,1.1023273809213592,3.089249253757857,1.724002271886439,1.1023273809213592,4.7295253948354095,4.7295253948354095,True,True,True,1.0,2.0,3.0,0.846271042564689,8.35672340874946,1.1023273809213592
746,SHORT,False,CONTINUATION,False,none,False,True,FVG,1,2,True,True,True,True,True,True,bos,13,6.527424349887803,0.6877916703642938,2.267748482591198,1.1875007035298049,0.6877916703642938,3.6076080101260484,3.6076080101260484,True,True,True,1.0,2.0,3.0,1.0764175798784303,6.527424349887803,0.6877916703642938
752,SHORT,False,REVERSAL,False,none,False,True,STRUCTURE,1,1,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.11162814196276373,29.057727661308906,9.445629229470955
753,SHORT,False,CONTINUATION,False,none,False,True,ATR_FALLBACK,1,2,False,True,True,False,True,True,bos,6,-1.0,1.0047797981787399,0.041222874247795284,,1.0047797981787399,-1.0,-1.0,True,False,False,1.0,-1.0,-1.0,1.1650399202386659,2.831501894152124,1.0047797981787399
758,SHORT,False,REVERSAL,False,none,False,True,FVG,1,1,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.06586824714343585,40.00991507667329,13.134624142638197
921,LONG,False,REVERSAL,True,PWH_bos,False,False,STRUCTURE,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.19280619731768503,20.128227281175974,6.115408215039926
935,SHORT,False,CONTINUATION,False,none,False,False,FVG,1,1,False,False,False,False,False,True,,6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,1.059873897422175,9.220471057555832,0.8082562129102886
1003,LONG,False,REVERSAL,True,PWH_bos,False,True,STRUCTURE,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.8286465017102171,5.106274440136609,3.8953029966678203
1004,LONG,False,REVERSAL,True,PWH_bos,False,True,STRUCTURE,1,2,False,False,True,False,False,True,,4,-1.0,-1.0,4.829897516790039,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,1.4029290996143269,2.4097352172457267,1.646671444663209
1005,LONG,False,REVERSAL,True,PWH_bos,False,False,STRUCTURE,1,2,False,False,True,False,False,True,,3,-1.0,-1.0,6.122420291812214,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.9826463393677445,3.771793905793691,2.6030559188104934
1006,LONG,False,REVERSAL,True,PWH_bos,False,False,STRUCTURE,1,2,False,False,True,False,False,True,,2,-1.0,-1.0,9.866223841434865,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.556647765204963,7.567469640302254,5.334607058166352
1007,LONG,False,REVERSAL,True,PWH_bos,False,False,STRUCTURE,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.28349501087277323,16.88763498855974,11.955870112771782
1048,LONG,False,REVERSAL,True,PWH_bos,False,True,STRUCTURE,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.5154279800048261,9.929798709150036,2.1511913560995555
1087,SHORT,False,REVERSAL,True,PDL_bos,False,True,STRUCTURE,1,1,False,False,True,False,False,True,,7,-1.0,-1.0,1.5908512259739935,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,1.6681464300620905,1.5534108309584196,0.9283609403685431
1088,SHORT,False,REVERSAL,True,PDL_bos,False,True,STRUCTURE,1,2,False,False,True,False,False,True,,6,-1.0,-1.0,1.7076011329694873,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,1.6063664580154335,1.8349908827493877,1.175884884982556
1089,SHORT,False,REVERSAL,True,PDL_bos,False,True,STRUCTURE,1,2,False,False,True,False,False,True,,5,-1.0,-1.0,1.860769222329706,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,1.45135267289588,2.331613252207499,1.5733208534660892
1090,SHORT,False,REVERSAL,True,PDL_bos,False,True,STRUCTURE,1,2,False,False,True,False,False,True,,4,-1.0,-1.0,2.4609173929592063,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.8940256237356459,4.405411021853042,3.2234155956476296
1091,SHORT,False,REVERSAL,True,PDL_bos,False,True,STRUCTURE,1,2,False,False,True,False,False,True,,3,-1.0,-1.0,2.37751709098737,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.9904420307227062,3.9756843302627103,2.9071035046463507
1092,SHORT,False,REVERSAL,True,PDL_bos,False,True,STRUCTURE,1,1,False,False,True,False,False,True,,2,-1.0,-1.0,2.0611056752900647,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,1.3739156297538604,2.78789269449965,1.9746146524686035
1176,SHORT,False,REVERSAL,False,none,False,True,FVG,1,1,True,True,True,True,True,True,bos,93,5.39297515577227,0.7617273115891378,0.9421947452751142,3.427430410270805,0.7617273115891378,3.077351233680704,3.077351233680704,True,True,True,1.0,2.0,3.0,1.163431994079946,5.39297515577227,0.7617273115891378
1177,SHORT,False,REVERSAL,False,none,False,True,FVG,1,1,True,True,True,True,True,True,bos,92,5.879367068843073,0.9464948154107348,0.9611158302176858,3.8816539286671627,0.9464948154107348,3.412930942126904,3.412930942126904,True,True,True,1.0,2.0,3.0,0.9868886805976835,5.879367068843073,0.9464948154107348
1197,SHORT,True,REVERSAL,True,PDL_bos,False,True,ATR_FALLBACK,1,1,False,False,True,False,False,True,,2,-1.0,-1.0,11.929233202842665,,-1.0,-1.0,-1.0,True,False,False,1.0,-1.0,-1.0,0.36207545064652125,2.4875486540046525,3.1779178197956814
1198,SHORT,True,REVERSAL,True,PDL_bos,False,True,FVG,1,1,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.1511177714677538,4.257533025210035,5.292277230800193
1212,SHORT,False,REVERSAL,True,PDL_bos,False,True,FVG,1,1,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.09420450649099084,16.02173560066017,9.862725892697824
1213,SHORT,False,REVERSAL,True,PDL_bos,False,False,STRUCTURE,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.2220225609975746,10.060700440121776,6.980751437393
1254,LONG,False,REVERSAL,False,none,False,True,STRUCTURE,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.22012307692307692,23.706096768005327,7.201565557729941
1255,LONG,False,REVERSAL,False,none,False,True,STRUCTURE,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.35012433216899813,14.31630304015676,4.11967534350038
1264,SHORT,False,CONTINUATION,False,none,False,True,FVG,1,2,False,False,False,False,False,True,,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,False,False,1.0,-1.0,-1.0,0.28131893903266675,18.58456788355269,2.1400743610122874
1265,SHORT,False,CONTINUATION,False,none,False,True,FVG,1,2,False,False,False,False,False,True,,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,False,False,1.0,-1.0,-1.0,0.2901663222123953,17.95057370044587,2.063641728678017
1331,LONG,False,REVERSAL,True,PWH_dest,False,True,STRUCTURE,1,2,False,True,True,False,True,True,bos,3,-1.0,2.459127693711403,9.355501874903492,-1.0,2.459127693711403,-1.0,-1.0,True,True,True,1.0,2.0,3.0,0.5325708169188048,8.365518996805228,2.459127693711403
1334,LONG,False,REVERSAL,True,PWH_bos,False,True,STRUCTURE,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.27540902227646363,13.376179849847135,3.8095935472241718
1346,SHORT,False,CONTINUATION,False,none,False,False,FVG,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.35338819421739504,21.258440462003204,2.2753856188842265
1347,SHORT,False,CONTINUATION,False,none,False,True,FVG,1,2,False,False,False,False,False,True,,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,-1.0,-1.0,-1.0,0.44634208435571504,17.644063116843007,1.7527862706898398
1357,LONG,False,REVERSAL,True,PWH_bos,False,True,STRUCTURE,1,2,True,True,True,True,True,False,bos,96,8.466764460645825,3.3399903084609655,3.111989286843307,9.777004573029261,3.3399903084609655,5.903377384553395,5.903377384553395,True,True,True,1.0,2.0,3.0,0.5802396865637358,8.466764460645825,3.3399903084609655
1388,LONG,True,REVERSAL,True,PWH_bos,False,True,FVG,1,2,True,False,True,False,False,True,dest,12,11.863131279726204,-1.0,15.0,-1.0,-1.0,5.431565639863102,5.431565639863102,True,True,True,1.0,2.0,3.0,0.14518106019732843,11.863131279726204,15.267448301973571
1399,LONG,False,REVERSAL,True,PWH_bos,False,True,STRUCTURE,1,2,True,True,True,True,True,True,bos,63,3.345060436864309,2.190126182657,3.5537708783707043,2.9240525489051508,2.190126182657,2.767593309760654,2.767593309760654,True,True,True,1.0,2.0,3.0,0.7924107886836441,3.345060436864309,2.190126182657
1400,LONG,False,REVERSAL,True,PWH_bos,False,True,STRUCTURE,1,2,True,True,True,True,True,True,bos,62,15.0,15.0,15.0,15.0,15.0,15.0,15.0,True,True,True,1.0,2.0,3.0,0.11824341022960154,29.705940707149573,21.68351760639744
1401,LONG,False,REVERSAL,True,PWH_bos,False,True,STRUCTURE,1,2,True,True,True,True,True,True,bos,61,5.819028677038808,3.9272568709682494,4.577029069279244,5.062136893540193,3.9272568709682494,4.873142774003529,4.873142774003529,True,True,True,1.0,2.0,3.0,0.5948504729935775,5.819028677038808,3.9272568709682494
1404,LONG,False,REVERSAL,True,PWH_bos,False,True,STRUCTURE,2,2,True,True,True,True,True,True,bos,58,11.939208645731597,7.7509918633585375,6.572543543735989,9.734494429875106,7.7509918633585375,9.845100254545066,9.845100254545066,True,True,True,1.0,2.0,3.0,0.40843174951934574,11.939208645731597,7.7509918633585375
1410,LONG,False,REVERSAL,True,PWH_bos,False,True,STRUCTURE,1,2,True,True,True,True,True,True,bos,52,10.119465457966767,5.686810075561003,4.301812859878426,4.54269692338635,5.686810075561003,7.903137766763885,7.903137766763885,True,True,True,1.0,2.0,3.0,0.46034980519659396,10.119465457966767,5.686810075561003
1411,LONG,False,REVERSAL,True,PWH_bos,False,True,STRUCTURE,1,2,True,True,True,True,True,True,bos,51,4.100228755341788,2.048277473126663,2.4318414682719833,1.5275664432517444,2.048277473126663,3.0742531142342253,3.0742531142342253,True,True,True,1.0,2.0,3.0,0.9631342395263979,4.100228755341788,2.048277473126663
